月均利润,本港,目标,去程物品,返程物品,平均往返时间,去程利润,返程利润,本港区域,本港文化,目标区域,目标文化
23575.0,阿尔金,"那不勒斯,拉古萨,威尼斯",黄金,玻璃工艺品,2.0,24750.0,22400.0,非洲西部,西非,欧洲东部,意大利
23475.0,漳州,勃固,青瓷,翡翠,2.0,10200.0,36750.0,东亚,大明,东南亚,中南半岛
22925.0,杭州,巨港,青花瓷,翡翠,2.0,12250.0,33600.0,东亚,大明,东南亚,东南亚
22925.0,巨港,杭州,翡翠,青花瓷,2.0,33600.0,12250.0,东南亚,东南亚,东亚,大明
22750.0,漳州,巨港,青瓷,翡翠,2.0,11900.0,33600.0,东亚,大明,东南亚,东南亚
22500.0,海州,勃固,茶叶,翡翠,2.0,8250.0,36750.0,东亚,大明,东南亚,中南半岛
22500.0,澳门,勃固,茶叶,翡翠,2.0,8250.0,36750.0,东亚,大明,东南亚,中南半岛
20925.0,海州,巨港,茶叶,翡翠,2.0,8250.0,33600.0,东亚,大明,东南亚,东南亚
20925.0,澳门,巨港,茶叶,翡翠,2.0,8250.0,33600.0,东亚,大明,东南亚,东南亚
20737.5,长崎,勃固,漆器,翡翠,2.0,13475.0,28000.0,东亚,日本,东南亚,中南半岛
20737.5,堺,勃固,漆器,翡翠,2.0,13475.0,28000.0,东亚,日本,东南亚,中南半岛
20737.5,勃固,"堺,长崎",翡翠,漆器,2.0,28000.0,13475.0,东南亚,中南半岛,东亚,日本
19962.5,江户,勃固,日本刀,翡翠,2.0,11925.0,28000.0,东亚,日本,东南亚,中南半岛
19740.0,塔马塔夫,"波尔图,里斯本",蓝宝石,蓝花瓷片,2.0,29820.0,9660.0,印度洋,东非,欧洲西部,伊比利亚
19740.0,波尔图,塔马塔夫,蓝花瓷片,蓝宝石,2.0,9660.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
19740.0,里斯本,塔马塔夫,蓝花瓷片,蓝宝石,2.0,9660.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
19680.0,热那亚,"开普敦,本格拉,塞拉利昂",天鹅绒,钻石,2.0,14400.0,24960.0,欧洲东部,意大利,非洲西部,西非
19680.0,比萨,"开普敦,本格拉,塞拉利昂",天鹅绒,钻石,2.0,14400.0,24960.0,欧洲东部,意大利,非洲西部,西非
19575.0,阿尔金,马赛,黄金,天鹅绒,2.0,24750.0,14400.0,非洲西部,西非,欧洲东部,法国
19575.0,圣乔治,马赛,黄金,天鹅绒,2.0,24750.0,14400.0,非洲西部,西非,欧洲东部,法国
19575.0,阿比让,马赛,黄金,天鹅绒,2.0,24750.0,14400.0,非洲西部,西非,欧洲东部,法国
19450.0,贝宁,"那不勒斯,拉古萨,威尼斯",象牙,玻璃工艺品,2.0,16500.0,22400.0,非洲西部,西非,欧洲东部,意大利
19355.0,南特,"开普敦,本格拉,塞拉利昂",白兰地,钻石,2.0,5950.0,32760.0,欧洲西部,法国,非洲西部,西非
19355.0,波尔多,"开普敦,本格拉,塞拉利昂",白兰地,钻石,2.0,5950.0,32760.0,欧洲西部,法国,非洲西部,西非
19250.0,安平,勃固,龙涎香,翡翠,2.0,1750.0,36750.0,东亚,大明,东南亚,中南半岛
19162.5,堺,巨港,漆器,翡翠,2.0,13475.0,24850.0,东亚,日本,东南亚,东南亚
19162.5,巨港,"堺,长崎",翡翠,漆器,2.0,24850.0,13475.0,东南亚,东南亚,东亚,日本
19162.5,长崎,巨港,漆器,翡翠,2.0,13475.0,24850.0,东亚,日本,东南亚,东南亚
19110.0,巴塞罗那,塔马塔夫,火器,蓝宝石,2.0,8400.0,29820.0,欧洲东部,伊比利亚,印度洋,东非
19110.0,塞维利亚,塔马塔夫,火器,蓝宝石,2.0,8400.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
18825.0,勃固,那霸,翡翠,珊瑚,2.0,36750.0,900.0,东南亚,中南半岛,东亚,东亚
18825.0,那霸,勃固,珊瑚,翡翠,2.0,900.0,36750.0,东亚,东亚,东南亚,中南半岛
18787.5,淡水,勃固,玛瑙,翡翠,2.0,825.0,36750.0,东亚,大明,东南亚,中南半岛
18700.0,洛布里,"堺,长崎",红宝石,漆器,2.0,23925.0,13475.0,东南亚,中南半岛,东亚,日本
18387.5,江户,巨港,日本刀,翡翠,2.0,11925.0,24850.0,东亚,日本,东南亚,东南亚
18340.0,加来,"开普敦,本格拉,塞拉利昂",蕾丝,钻石,2.0,3920.0,32760.0,欧洲北部,法国,非洲西部,西非
17730.0,本格拉,贝鲁特,钻石,大马士革刀,2.0,24960.0,10500.0,非洲西部,西非,欧洲东部,土耳其
17730.0,贝鲁特,"开普敦,本格拉,塞拉利昂",大马士革刀,钻石,2.0,10500.0,24960.0,欧洲东部,土耳其,非洲西部,西非
17730.0,开普敦,贝鲁特,钻石,大马士革刀,2.0,24960.0,10500.0,非洲西部,西非,欧洲东部,土耳其
17730.0,塞拉利昂,贝鲁特,钻石,大马士革刀,2.0,24960.0,10500.0,非洲西部,西非,欧洲东部,土耳其
17675.0,安平,巨港,龙涎香,翡翠,2.0,1750.0,33600.0,东亚,大明,东南亚,东南亚
17625.0,阿尔金,贝鲁特,黄金,大马士革刀,2.0,24750.0,10500.0,非洲西部,西非,欧洲东部,土耳其
17625.0,圣乔治,贝鲁特,黄金,大马士革刀,2.0,24750.0,10500.0,非洲西部,西非,欧洲东部,土耳其
17625.0,阿比让,贝鲁特,黄金,大马士革刀,2.0,24750.0,10500.0,非洲西部,西非,欧洲东部,土耳其
17610.0,帕尔马,塔马塔夫,雪莉酒,蓝宝石,2.0,5400.0,29820.0,欧洲东部,伊比利亚,印度洋,东非
17610.0,马拉加,塔马塔夫,雪莉酒,蓝宝石,2.0,5400.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
17250.0,巨港,那霸,翡翠,珊瑚,2.0,33600.0,900.0,东南亚,东南亚,东亚,东亚
17250.0,那霸,巨港,珊瑚,翡翠,2.0,900.0,33600.0,东亚,东亚,东南亚,东南亚
17212.5,淡水,巨港,玛瑙,翡翠,2.0,825.0,33600.0,东亚,大明,东南亚,东南亚
17212.5,洛布里,杭州,红宝石,青花瓷,2.0,23925.0,10500.0,东南亚,中南半岛,东亚,大明
17043.157894736843,塔马塔夫,"斯德哥尔摩,但泽,维斯比",蓝宝石,琥珀,3.1666666666666665,40320.0,13650.0,印度洋,东非,欧洲北部,北欧
16680.0,本格拉,"里斯本,塞维利亚,巴塞罗那",钻石,火器,2.0,24960.0,8400.0,非洲西部,西非,欧洲西部,伊比利亚
16680.0,巴塞罗那,"开普敦,本格拉,塞拉利昂",火器,钻石,2.0,8400.0,24960.0,欧洲东部,伊比利亚,非洲西部,西非
16680.0,开普敦,"里斯本,塞维利亚,巴塞罗那",钻石,火器,2.0,24960.0,8400.0,非洲西部,西非,欧洲西部,伊比利亚
16680.0,塞维利亚,"开普敦,本格拉,塞拉利昂",火器,钻石,2.0,8400.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
16680.0,里斯本,"开普敦,本格拉,塞拉利昂",火器,钻石,2.0,8400.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
16680.0,塞拉利昂,"里斯本,塞维利亚,巴塞罗那",钻石,火器,2.0,24960.0,8400.0,非洲西部,西非,欧洲西部,伊比利亚
16606.153846153848,维斯比,塔马塔夫,琥珀,蓝宝石,3.25,13650.0,40320.0,欧洲北部,北欧,印度洋,东非
16606.153846153848,斯德哥尔摩,塔马塔夫,琥珀,蓝宝石,3.25,13650.0,40320.0,欧洲北部,北欧,印度洋,东非
16606.153846153848,但泽,塔马塔夫,琥珀,蓝宝石,3.25,13650.0,40320.0,欧洲北部,北欧,印度洋,东非
16597.5,勃固,"釜山,汉阳",翡翠,白瓷,2.0,28000.0,5195.0,东南亚,中南半岛,东亚,朝鲜
16597.5,釜山,勃固,白瓷,翡翠,2.0,5195.0,28000.0,东亚,朝鲜,东南亚,中南半岛
16597.5,汉阳,勃固,白瓷,翡翠,2.0,5195.0,28000.0,东亚,朝鲜,东南亚,中南半岛
16575.0,阿尔金,"里斯本,塞维利亚,巴塞罗那",黄金,火器,2.0,24750.0,8400.0,非洲西部,西非,欧洲西部,伊比利亚
16575.0,圣乔治,"里斯本,塞维利亚,巴塞罗那",黄金,火器,2.0,24750.0,8400.0,非洲西部,西非,欧洲西部,伊比利亚
16575.0,阿比让,"里斯本,塞维利亚,巴塞罗那",黄金,火器,2.0,24750.0,8400.0,非洲西部,西非,欧洲西部,伊比利亚
16507.5,瓦伦西亚,塔马塔夫,迷迭香,蓝宝石,2.0,3195.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
16490.526315789473,塔马塔夫,"那不勒斯,拉古萨,威尼斯",蓝宝石,玻璃工艺品,3.1666666666666665,29820.0,22400.0,印度洋,东非,欧洲东部,意大利
16397.5,嘉定,"堺,长崎",蓝宝石,漆器,2.0,19320.0,13475.0,东南亚,中南半岛,东亚,日本
16293.157894736843,塔马塔夫,"格罗宁根,阿姆斯特丹",蓝宝石,玻璃球,3.1666666666666665,40320.0,11275.0,印度洋,东非,欧洲北部,荷兰
16205.0,圣多美,"那不勒斯,拉古萨,威尼斯",祖母绿,玻璃工艺品,2.0,10010.0,22400.0,非洲西部,西非,欧洲东部,意大利
16087.5,阿尔金,"霍尔木兹,巴士拉",黄金,青金石,2.0,20250.0,11925.0,非洲西部,西非,印度洋,波斯
16087.5,阿比让,"霍尔木兹,巴士拉",黄金,青金石,2.0,20250.0,11925.0,非洲西部,西非,印度洋,波斯
16087.5,霍尔木兹,"圣乔治,阿比让,阿尔金",青金石,黄金,2.0,11925.0,20250.0,印度洋,波斯,非洲西部,西非
16087.5,巴士拉,"圣乔治,阿比让,阿尔金",青金石,黄金,2.0,11925.0,20250.0,印度洋,波斯,非洲西部,西非
16087.5,圣乔治,"霍尔木兹,巴士拉",黄金,青金石,2.0,20250.0,11925.0,非洲西部,西非,印度洋,波斯
16067.692307692309,威尼斯,塔马塔夫,玻璃工艺品,蓝宝石,3.25,22400.0,29820.0,欧洲东部,意大利,印度洋,东非
16067.692307692309,拉古萨,塔马塔夫,玻璃工艺品,蓝宝石,3.25,22400.0,29820.0,欧洲东部,意大利,印度洋,东非
16067.692307692309,那不勒斯,塔马塔夫,玻璃工艺品,蓝宝石,3.25,22400.0,29820.0,欧洲东部,意大利,印度洋,东非
15875.384615384615,格罗宁根,塔马塔夫,玻璃球,蓝宝石,3.25,11275.0,40320.0,欧洲北部,荷兰,印度洋,东非
15875.384615384615,阿姆斯特丹,塔马塔夫,玻璃球,蓝宝石,3.25,11275.0,40320.0,欧洲北部,荷兰,印度洋,东非
15810.0,汉阳,巨港,白瓷,翡翠,2.0,6770.0,24850.0,东亚,朝鲜,东南亚,东南亚
15810.0,巨港,"釜山,汉阳",翡翠,白瓷,2.0,24850.0,6770.0,东南亚,东南亚,东亚,朝鲜
15810.0,釜山,巨港,白瓷,翡翠,2.0,6770.0,24850.0,东亚,朝鲜,东南亚,东南亚
15800.0,锡兰,"里斯本,塞维利亚,巴塞罗那",红宝石,火器,3.0,34800.0,12600.0,印度洋,印度,欧洲西部,伊比利亚
15800.0,巴塞罗那,"锡兰,卡利卡特",火器,红宝石,3.0,12600.0,34800.0,欧洲东部,伊比利亚,印度洋,印度
15800.0,里斯本,"锡兰,卡利卡特",火器,红宝石,3.0,12600.0,34800.0,欧洲西部,伊比利亚,印度洋,印度
15800.0,塞维利亚,"锡兰,卡利卡特",火器,红宝石,3.0,12600.0,34800.0,欧洲西部,伊比利亚,印度洋,印度
15800.0,卡利卡特,"里斯本,塞维利亚,巴塞罗那",红宝石,火器,3.0,34800.0,12600.0,印度洋,印度,欧洲西部,伊比利亚
15792.5,伊斯坦布尔,"开普敦,本格拉,塞拉利昂",蓝眼睛,钻石,2.0,6625.0,24960.0,欧洲东部,土耳其,非洲西部,西非
15764.21052631579,塔马塔夫,汉堡,蓝宝石,甲胄,3.1666666666666665,40320.0,9600.0,印度洋,东非,欧洲北部,德国
15650.526315789475,斯德哥尔摩,"开普敦,本格拉,塞拉利昂",琥珀,钻石,3.1666666666666665,16800.0,32760.0,欧洲北部,北欧,非洲西部,西非
15650.526315789475,维斯比,"开普敦,本格拉,塞拉利昂",琥珀,钻石,3.1666666666666665,16800.0,32760.0,欧洲北部,北欧,非洲西部,西非
15650.526315789475,但泽,"开普敦,本格拉,塞拉利昂",琥珀,钻石,3.1666666666666665,16800.0,32760.0,欧洲北部,北欧,非洲西部,西非
15630.0,波尔图,"开普敦,本格拉,塞拉利昂",波特酒,钻石,2.0,6300.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
15575.0,文莱,"堺,长崎",沉香,漆器,2.0,17675.0,13475.0,东南亚,东南亚,东亚,日本
15575.0,达沃,"堺,长崎",沉香,漆器,2.0,17675.0,13475.0,东南亚,东南亚,东亚,日本
15575.0,雅加达,"堺,长崎",沉香,漆器,2.0,17675.0,13475.0,东南亚,东南亚,东亚,日本
15572.5,亚速尔,塔马塔夫,珍珠,蓝宝石,2.0,1325.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
15450.0,贝宁,马赛,象牙,天鹅绒,2.0,16500.0,14400.0,非洲西部,西非,欧洲东部,法国
15360.0,拉斯帕尔马斯,塔马塔夫,珊瑚,蓝宝石,2.0,900.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
15360.0,汉堡,塔马塔夫,甲胄,蓝宝石,3.25,9600.0,40320.0,欧洲北部,德国,印度洋,东非
15360.0,马德拉,塔马塔夫,珊瑚,蓝宝石,2.0,900.0,29820.0,欧洲西部,伊比利亚,印度洋,东非
15350.0,浦项,勃固,人参,翡翠,2.0,2700.0,28000.0,东亚,朝鲜,东南亚,中南半岛
15330.0,克里特,"开普敦,本格拉,塞拉利昂",古代美术品,钻石,2.0,5700.0,24960.0,欧洲东部,巴尔干,非洲西部,西非
15330.0,本格拉,"雅典,萨洛尼卡,克里特",钻石,古代美术品,2.0,24960.0,5700.0,非洲西部,西非,欧洲东部,巴尔干
15330.0,萨洛尼卡,"开普敦,本格拉,塞拉利昂",古代美术品,钻石,2.0,5700.0,24960.0,欧洲东部,巴尔干,非洲西部,西非
15330.0,雅典,"开普敦,本格拉,塞拉利昂",古代美术品,钻石,2.0,5700.0,24960.0,欧洲东部,巴尔干,非洲西部,西非
15330.0,塞拉利昂,"雅典,萨洛尼卡,克里特",钻石,古代美术品,2.0,24960.0,5700.0,非洲西部,西非,欧洲东部,巴尔干
15330.0,开普敦,"雅典,萨洛尼卡,克里特",钻石,古代美术品,2.0,24960.0,5700.0,非洲西部,西非,欧洲东部,巴尔干
15249.23076923077,开普敦,"斯德哥尔摩,但泽,维斯比",钻石,琥珀,3.25,32760.0,16800.0,非洲西部,西非,欧洲北部,北欧
15249.23076923077,本格拉,"斯德哥尔摩,但泽,维斯比",钻石,琥珀,3.25,32760.0,16800.0,非洲西部,西非,欧洲北部,北欧
15249.23076923077,塞拉利昂,"斯德哥尔摩,但泽,维斯比",钻石,琥珀,3.25,32760.0,16800.0,非洲西部,西非,欧洲北部,北欧
15225.0,阿比让,"雅典,萨洛尼卡,克里特",黄金,古代美术品,2.0,24750.0,5700.0,非洲西部,西非,欧洲东部,巴尔干
15225.0,阿尔金,"雅典,萨洛尼卡,克里特",黄金,古代美术品,2.0,24750.0,5700.0,非洲西部,西非,欧洲东部,巴尔干
15225.0,圣乔治,"雅典,萨洛尼卡,克里特",黄金,古代美术品,2.0,24750.0,5700.0,非洲西部,西非,欧洲东部,巴尔干
15180.0,帕尔马,"开普敦,本格拉,塞拉利昂",雪莉酒,钻石,2.0,5400.0,24960.0,欧洲东部,伊比利亚,非洲西部,西非
15180.0,马拉加,"开普敦,本格拉,塞拉利昂",雪莉酒,钻石,2.0,5400.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
15134.237288135593,里斯本,杭州,蓝花瓷片,青花瓷,4.916666666666667,20160.0,54250.0,欧洲西部,伊比利亚,东亚,大明
15134.237288135593,波尔图,杭州,蓝花瓷片,青花瓷,4.916666666666667,20160.0,54250.0,欧洲西部,伊比利亚,东亚,大明
15134.237288135593,杭州,"波尔图,里斯本",青花瓷,蓝花瓷片,4.916666666666667,54250.0,20160.0,东亚,大明,欧洲西部,伊比利亚
14962.5,雅加达,杭州,沉香,青花瓷,2.0,17675.0,12250.0,东南亚,东南亚,东亚,大明
14962.5,达沃,杭州,沉香,青花瓷,2.0,17675.0,12250.0,东南亚,东南亚,东亚,大明
14962.5,文莱,杭州,沉香,青花瓷,2.0,17675.0,12250.0,东南亚,东南亚,东亚,大明
14910.0,嘉定,杭州,蓝宝石,青花瓷,2.0,19320.0,10500.0,东南亚,中南半岛,东亚,大明
14820.0,波尔图,"锡兰,卡利卡特",蓝花瓷片,红宝石,3.0,9660.0,34800.0,欧洲西部,伊比利亚,印度洋,印度
14818.983050847457,漳州,"波尔图,里斯本",青瓷,蓝花瓷片,4.916666666666667,52700.0,20160.0,东亚,大明,欧洲西部,伊比利亚
14761.764705882351,威尼斯,杭州,玻璃工艺品,青花瓷,5.666666666666667,29400.0,54250.0,欧洲东部,意大利,东亚,大明
14761.764705882351,那不勒斯,杭州,玻璃工艺品,青花瓷,5.666666666666667,29400.0,54250.0,欧洲东部,意大利,东亚,大明
14761.764705882351,杭州,"那不勒斯,拉古萨,威尼斯",青花瓷,玻璃工艺品,5.666666666666667,54250.0,29400.0,东亚,大明,欧洲东部,意大利
14761.764705882351,拉古萨,杭州,玻璃工艺品,青花瓷,5.666666666666667,29400.0,54250.0,欧洲东部,意大利,东亚,大明
14630.0,圣多美,科皮亚波,祖母绿,烟草,2.0,17710.0,11550.0,非洲西部,西非,南美洲,中南美
14630.0,科皮亚波,圣多美,烟草,祖母绿,2.0,11550.0,17710.0,南美洲,中南美,非洲西部,西非
14560.0,洛布里,"釜山,汉阳",红宝石,白瓷,2.0,23925.0,5195.0,东南亚,中南半岛,东亚,朝鲜
14488.235294117647,漳州,"那不勒斯,拉古萨,威尼斯",青瓷,玻璃工艺品,5.666666666666667,52700.0,29400.0,东亚,大明,欧洲东部,意大利
14473.846153846154,哥本哈根,塔马塔夫,甲胄,蓝宝石,3.25,6720.0,40320.0,欧洲北部,北欧,印度洋,东非
14473.846153846154,吕贝克,塔马塔夫,甲胄,蓝宝石,3.25,6720.0,40320.0,欧洲北部,北欧,印度洋,东非
14355.0,本格拉,科皮亚波,钻石,烟草,2.0,17160.0,11550.0,非洲西部,西非,南美洲,中南美
14355.0,塞拉利昂,科皮亚波,钻石,烟草,2.0,17160.0,11550.0,非洲西部,西非,南美洲,中南美
14355.0,开普敦,科皮亚波,钻石,烟草,2.0,17160.0,11550.0,非洲西部,西非,南美洲,中南美
14225.0,浦项,巨港,人参,翡翠,2.0,3600.0,24850.0,东亚,朝鲜,东南亚,东南亚
14167.5,索法拉,"波尔图,里斯本",黄金,蓝花瓷片,2.0,18675.0,9660.0,印度洋,东非,欧洲西部,伊比利亚
14166.101694915253,塞维利亚,杭州,火器,青花瓷,4.916666666666667,15400.0,54250.0,欧洲西部,伊比利亚,东亚,大明
14166.101694915253,巴塞罗那,杭州,火器,青花瓷,4.916666666666667,15400.0,54250.0,欧洲东部,伊比利亚,东亚,大明
14105.0,圣多美,贝鲁特,祖母绿,大马士革刀,2.0,17710.0,10500.0,非洲西部,西非,欧洲东部,土耳其
14077.5,瓦伦西亚,"开普敦,本格拉,塞拉利昂",迷迭香,钻石,2.0,3195.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
13995.789473684212,塔马塔夫,"爱丁堡,都柏林,伦敦",蓝宝石,英格兰花呢,3.1666666666666665,40320.0,4000.0,印度洋,东非,欧洲北部,不列颠
13964.21052631579,塔马塔夫,马赛,蓝宝石,天鹅绒,3.1666666666666665,29820.0,14400.0,印度洋,东非,欧洲东部,法国
13961.052631578948,杭州,"开普敦,本格拉,塞拉利昂",青花瓷,钻石,3.1666666666666665,19250.0,24960.0,东亚,大明,非洲西部,西非
13905.789473684212,阿姆斯特丹,"开普敦,本格拉,塞拉利昂",玻璃球,钻石,3.1666666666666665,11275.0,32760.0,欧洲北部,荷兰,非洲西部,西非
13905.789473684212,格罗宁根,"开普敦,本格拉,塞拉利昂",玻璃球,钻石,3.1666666666666665,11275.0,32760.0,欧洲北部,荷兰,非洲西部,西非
13787.368421052632,漳州,"开普敦,本格拉,塞拉利昂",青瓷,钻石,3.1666666666666665,18700.0,24960.0,东亚,大明,非洲西部,西非
13636.923076923076,都柏林,塔马塔夫,英格兰花呢,蓝宝石,3.25,4000.0,40320.0,欧洲北部,不列颠,印度洋,东非
13636.923076923076,伦敦,塔马塔夫,英格兰花呢,蓝宝石,3.25,4000.0,40320.0,欧洲北部,不列颠,印度洋,东非
13636.923076923076,爱丁堡,塔马塔夫,英格兰花呢,蓝宝石,3.25,4000.0,40320.0,欧洲北部,不列颠,印度洋,东非
13606.153846153846,马赛,塔马塔夫,天鹅绒,蓝宝石,3.25,14400.0,29820.0,欧洲东部,法国,印度洋,东非
13606.153846153846,比萨,塔马塔夫,天鹅绒,蓝宝石,3.25,14400.0,29820.0,欧洲东部,意大利,印度洋,东非
13606.153846153846,热那亚,塔马塔夫,天鹅绒,蓝宝石,3.25,14400.0,29820.0,欧洲东部,意大利,印度洋,东非
13605.0,锡拉库萨,"开普敦,本格拉,塞拉利昂",牛至,钻石,2.0,2250.0,24960.0,欧洲东部,意大利,非洲西部,西非
13605.0,卡利亚里,"开普敦,本格拉,塞拉利昂",牛至,钻石,2.0,2250.0,24960.0,欧洲东部,意大利,非洲西部,西非
13605.0,西西里,"开普敦,本格拉,塞拉利昂",牛至,钻石,2.0,2250.0,24960.0,欧洲东部,意大利,非洲西部,西非
13603.076923076924,开普敦,杭州,钻石,青花瓷,3.25,24960.0,19250.0,非洲西部,西非,东亚,大明
13603.076923076924,本格拉,杭州,钻石,青花瓷,3.25,24960.0,19250.0,非洲西部,西非,东亚,大明
13603.076923076924,塞拉利昂,杭州,钻石,青花瓷,3.25,24960.0,19250.0,非洲西部,西非,东亚,大明
13549.23076923077,本格拉,"格罗宁根,阿姆斯特丹",钻石,玻璃球,3.25,32760.0,11275.0,非洲西部,西非,欧洲北部,荷兰
13549.23076923077,开普敦,"格罗宁根,阿姆斯特丹",钻石,玻璃球,3.25,32760.0,11275.0,非洲西部,西非,欧洲北部,荷兰
13549.23076923077,塞拉利昂,"格罗宁根,阿姆斯特丹",钻石,玻璃球,3.25,32760.0,11275.0,非洲西部,西非,欧洲北部,荷兰
13538.461538461539,圣乔治,杭州,黄金,青花瓷,3.25,24750.0,19250.0,非洲西部,西非,东亚,大明
13538.461538461539,阿比让,杭州,黄金,青花瓷,3.25,24750.0,19250.0,非洲西部,西非,东亚,大明
13538.461538461539,阿尔金,杭州,黄金,青花瓷,3.25,24750.0,19250.0,非洲西部,西非,东亚,大明
13493.333333333334,马拉加,"锡兰,卡利卡特",迷迭香,红宝石,3.0,5680.0,34800.0,欧洲西部,伊比利亚,印度洋,印度
13493.333333333334,帕尔马,"锡兰,卡利卡特",迷迭香,红宝石,3.0,5680.0,34800.0,欧洲东部,伊比利亚,印度洋,印度
13493.333333333334,瓦伦西亚,"锡兰,卡利卡特",迷迭香,红宝石,3.0,5680.0,34800.0,欧洲西部,伊比利亚,印度洋,印度
13461.538461538461,奥斯陆,塔马塔夫,阿夸维特酒,蓝宝石,3.25,3430.0,40320.0,欧洲北部,北欧,印度洋,东非
13461.538461538461,卑尔根,塔马塔夫,阿夸维特酒,蓝宝石,3.25,3430.0,40320.0,欧洲北部,北欧,印度洋,东非
13440.0,法马古斯塔,"开普敦,本格拉,塞拉利昂",贝紫,钻石,2.0,1920.0,24960.0,欧洲东部,巴尔干,非洲西部,西非
13376.842105263158,汉堡,"开普敦,本格拉,塞拉利昂",甲胄,钻石,3.1666666666666665,9600.0,32760.0,欧洲北部,德国,非洲西部,西非
13321.578947368422,澳门,"开普敦,本格拉,塞拉利昂",麝香,钻石,3.1666666666666665,17225.0,24960.0,东亚,大明,非洲西部,西非
13142.5,亚速尔,"开普敦,本格拉,塞拉利昂",珍珠,钻石,2.0,1325.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
13060.0,不莱梅,塔马塔夫,啤酒,蓝宝石,3.25,2125.0,40320.0,欧洲北部,德国,印度洋,东非
13052.307692307691,安特卫普,塔马塔夫,金酒,蓝宝石,3.25,2100.0,40320.0,欧洲北部,荷兰,印度洋,东非
13047.457627118643,马拉加,杭州,雪莉酒,青花瓷,4.916666666666667,9900.0,54250.0,欧洲西部,伊比利亚,东亚,大明
13047.457627118643,帕尔马,杭州,雪莉酒,青花瓷,4.916666666666667,9900.0,54250.0,欧洲东部,伊比利亚,东亚,大明
13042.5,塞瓦斯托波尔,"开普敦,本格拉,塞拉利昂",土耳其地毯,钻石,2.0,1125.0,24960.0,欧洲东部,土耳其,非洲西部,西非
13033.846153846154,塞拉利昂,汉堡,钻石,甲胄,3.25,32760.0,9600.0,非洲西部,西非,欧洲北部,德国
13033.846153846154,开普敦,汉堡,钻石,甲胄,3.25,32760.0,9600.0,非洲西部,西非,欧洲北部,德国
13033.846153846154,本格拉,汉堡,钻石,甲胄,3.25,32760.0,9600.0,非洲西部,西非,欧洲北部,德国
12971.052631578948,索法拉,"那不勒斯,拉古萨,威尼斯",黄金,玻璃工艺品,3.1666666666666665,18675.0,22400.0,印度洋,东非,欧洲东部,意大利
12930.0,的里雅斯特,"开普敦,本格拉,塞拉利昂",船钉,钻石,2.0,900.0,24960.0,欧洲东部,意大利,非洲西部,西非
12930.0,马德拉,"开普敦,本格拉,塞拉利昂",珊瑚,钻石,2.0,900.0,24960.0,欧洲西部,伊比利亚,非洲西部,西非
